,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
IMS,Scrypt,PoW/PoS,5368934.0,21212121,-0.32315025970177885,0.9592425213979728,-0.5421975766816587,Independent Money System,3
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000,-0.3231494294476209,0.9592370959872722,-0.542196089513386,ArgusCoin,3
LMC,Scrypt,PoW/PoS,500000.0,1000000000,-0.31624521084154544,0.9585248849243697,-0.542321494013144,LomoCoin,3
PROC,SHA-256,PoS,100545745.0,75000000000,0.2669207826414797,0.6143159841325359,-0.012613880065018722,ProCurrency,3
XGR,X11,PoW/PoS,17171382.0,40000000,-0.40712198609657296,1.3473912119094804,-0.4965085923632139,GoldReserve,3
BENJI,Scrypt,PoW,20276099.146524,35520400,-0.16227577619565056,-1.1873651957159297,-0.011186534203116823,BenjiRolls,0
GRW,Scrypt,PoS,295135466.361878,2000000000,-0.254052941766735,0.6597622595402819,-0.2716449827217463,GrowthCoin,3
ILC,SHA-256,PoW,1317747500.0,2500000000,-0.124919024854626,-1.1810932329861459,0.2561138087243341,ILCoin,0
PHR,PoS,PoS,11390225.9742772,30000000,-0.3286023388137076,1.3887340337143739,-0.1445809864909858,Phreak,3
DEA,Scrypt,PoW/PoS,21358764.0,105000000,-0.32235803677046715,0.9591811231631926,-0.5422176840614586,Degas Coin,3
HTML5,X15,PoW/PoS,40659020000.0,90000000000,0.9094258421397012,1.8313800688798474,-0.6209717036178032,HTML5 Coin,3
USC,SHA-256,PoS,10343113.0,200084200,-0.26643684814902313,0.6691574958820271,-0.0028763267233716484,Ultimate Secure Cash,3
EQT,Scrypt,PoW,13673406.4325268,72000000,-0.16209714012744805,-1.1873919555075574,-0.011187434672338546,EquiTrader,0
QTUM,POS 3.0,PoS,100000000.0,100000000,-0.3220801812189881,1.3467556856552867,-0.1419863787739563,QTUM,3
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000,-0.1552300492652624,-2.1523179476289602,0.4426238416317037,Quantum Resistant Ledger,0
ESP,536,PoW/PoS,22801882871.0,50000000000,0.5448565351264512,2.0761795903291698,-0.7043021519507942,Espers,3
DYN,Argon2d,PoW,19784224.6512734,0,-0.1280749776744117,-2.2532062316960184,0.5021622002961076,Dynamic,0
NANO,Blake2b,PoW,133248297.0,340282367,-0.052514276583837914,-2.0722814885047574,0.3120271851249234,Nano,0
CHAN,Cloverhash,PoW,18407259.0885883,30000000,-0.12221655059277398,-2.331768082625775,0.4769941833783631,ChanCoin,0
DCY,CryptoNight,PoW,1809467143.0,2000000000,0.3262910929420752,-2.244620202983041,0.4016129478473869,Dinastycoin,0
DNR,NIST5,PoW/PoS,4171382.0,10000000,-0.35439189568205687,1.5866239671757587,-0.5839654173819804,Denarius,3
DP,X11,PoW,35138975.0,100000000,-0.24588485809200497,-0.7992499990341063,0.034494761792394094,DigitalPrice,0
VUC,NIST5,PoW/PoS,62942075.0,120000000,-0.352888715056323,1.586543439726715,-0.5840136893194835,Virta Unique Coin,3
BTPL,Skein,PoW/PoS,6804362.0,100000000,-0.40747974418704597,1.976385232949627,-0.5785146639096869,Bitcoin Planet,3
UNIFY,Scrypt,PoW,18133195.0,19276800,-0.1624176297364954,-1.1873532907112958,-0.011183190169294196,Unify,0
BRIT,X13,PoW/PoS,21268092.0,30000000,-0.2835666822364055,1.8749024189713563,-0.6322941642978253,BritCoin,3
SOCC,Scrypt,PoW,5167775.0, 75000000,-0.16218006168563334,-1.187394172728846,-0.011182898279275825,SocialCoin,0
ARC,X11,PoW,26042364.3735553,60000000,-0.24628099833416173,-0.7992206908033832,0.03450520814149115,ArcticCoin,0
DAS,X11,PoW,2622886.0,18900000,-0.24686054656383602,-0.7991906058571383,0.03452409000012142,DAS,0
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000,0.14329644354503548,0.9226179380948349,-0.5539029784927385,Linda,3
XLC,CryptoNight,PoW,14161803.0,54000000,0.2904357545100873,-2.2431971702879943,0.40290442101580975,LeviarCoin,0
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.28363772408487253,1.8749105599321598,-0.6322931025351387,DeepOnion,3
BTX,Time Travel,PoW,17801865.1605478,21000000,-0.22065782293863762,-1.8382768282455149,0.2591952508833073,Bitcore,0
GCN,Scrypt,PoW,163055097500.0,200000000000,3.259212806573522,-1.333635885862188,-0.13147728432716066,gCn Coin,0
SMART,Keccak,PoW,2241009149.22257,5000000000,-0.12759957009830103,-1.0644336247447195,0.16399949677103148,SmartCash,0
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000,-0.34149303146335147,1.4497858780586994,-0.19320720426313828,Signatum,3
ONX,X11,PoW,122475638.389743,1100000000,-0.23769854344492294,-0.7999829960619903,0.034314709922353054,Onix,0
CRM,Skein,PoW/PoS,47331802.4774238,100000000,-0.4069829276040664,1.976385317216706,-0.5785381296873405,Cream,3
BCH,SHA-256,PoW,17995589.6469082,21000000,-0.1584921421664117,-1.1792783857004308,0.25718736618644034,Bitcoin Cash,0
XMCC,X11,PoW/PoS,12569262.5359307,9507271,-0.40739537875770426,1.3474135589575529,-0.4965019793986517,Monoeci,3
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.27154964502586787,0.6612152803024576,-0.2712281902421419,Draftcoin,3
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466,4.3214240914126485,4.450792663615055,16.168523784899207,Vechain,1
SOJ,Scrypt,PoW,485214.0,10500000000,-0.08805655690727997,-1.1950375696150999,-0.012530048373054168,Sojourn Coin,0
STCN,PoS,PoS,4000000.0,61599965,-0.3284680788294322,1.3887108499293324,-0.1445807991405995,Stakecoin,3
NYC,Scrypt,PoW,143006669741.687,0,1.5903088254877797,-1.1870418470526747,-0.09397243145364137,NewYorkCoin,0
FRAZ,Scrypt,PoW,9704042.0,20000000,-0.1625158147309676,-1.1873538384724753,-0.011178403250851883,FrazCoin,0
KRONE,Scrypt,PoW,17453749.4042601,84000000,-0.1619654096767264,-1.1874007457907239,-0.011191177324489897,Kronecoin,0
ACC,Scrypt,PoW,32646731.063036,100000000,-0.1616653116118017,-1.1874124450585435,-0.011202045936567581,AdCoin,0
LINX,Scrypt,PoW,33716526.0,100000000,-0.16165219724141933,-1.1874124428341621,-0.011202665358120653,Linx,0
XCXT,Scrypt,PoW/PoS,19539588.0,48252000,-0.3227841379307056,0.9592227258011798,-0.542209282833976,CoinonatX,3
ETHD,Scrypt,PoW/PoS,4200000.0,4200000,-0.32328564211165817,0.9592549918909132,-0.5421946970754311,Ethereum Dark,3
SUMO,CryptoNight,PoW,8946653.0,88888888,0.29062008115677884,-2.2432227609185253,0.40290292311634185,Sumokoin,0
ODN,SHA-512,PoS,25000000.0,91388946,-0.3073157695487536,1.2564031504527333,0.016745025295114093,Obsidian,3
ADA,Ouroboros,PoS,25927070538.0,45000000000,0.6856229228877148,1.363055614139369,0.08070637667687634,Cardano,3
REC,X11,PoW/PoS,7262402.04264803,27000000,-0.4073359617748039,1.3474007226282414,-0.4965011716882269,Regalcoin,3
BTCZ,Equihash,PoW,5211553258.01514,21000000000,0.08299230217005304,-2.2102977434120787,0.22659903580914356,BitcoinZ,0
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000,-0.3381014497780882,0.5597463195122602,-0.2260913785019394,TrezarCoin,3
ELM,X11,PoW,2702855668.85288,1800000000,-0.20108528522077068,-0.800490855817884,0.03273000690619045,Elements,0
TER,Scrypt,PoW/PoS,1140734.91680375,15733333,-0.32324107749540587,0.9592465295366928,-0.5421944191032742,TerraNovaCoin,3
VIVO,NeoScrypt,PoW,4165967.57499639,27000000,-0.18235352200120722,-1.5865778335372043,0.3050817825001993,VIVO Coin,0
RUP,Lyra2REv2,PoS,24000000.0,24000000,-0.3375301574171629,0.7685055650641691,-0.10731025532140127,Rupee,3
BTG,Equihash,PoW,17202361.088994,21000000,-0.12996378869914973,-2.19492718947485,0.2323230409186318,Bitcoin Gold,0
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000,0.44857838991170335,0.941029356755434,-0.5734872993877811,WomenCoin,3
MAY,SHA-256,PoW/PoS,92050800.0,100000000,-0.31761210500094966,0.9672611047538069,-0.27388726820820664,Theresa May Coin,3
NAMO,NIST5,PoW/PoS,560563220.0,1200000000,-0.3391035632341486,1.585752641496994,-0.5844416584968987,NamoCoin,3
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000,-0.4002141993806038,1.8803484435637778,-0.5367508850534876,LUXCoin,3
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.15848291839617965,-2.1559579164440614,0.42365571973490385,Pirl,0
XIOS,Scrypt,PoW/PoS,2149688.0,21000000,-0.3231912330829799,0.959242670226907,-0.5421956852411911,Xios,3
BTDX,Quark,PoW/PoS,30711550.5294042,200000000,-0.3959424906975582,1.7193656592017583,-0.5020660684812779,Bitcloud 2.0,3
EBST,Scrypt,PoW,99990001.493466,100000000,-0.16083976592947447,-1.1874123050343863,-0.011241038337562343,eBoost,0
KEK,POS 2.0,PoS,12330806.30517,21000000,-0.32811846585747556,1.3320953123683197,-0.2254308485776645,KekCoin,3
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.32306120154050966,0.9592472540823879,-0.5422031103087316,BlackholeCoin,3
XIN,SHA-256,PoS,8999999990.0,9000000000,-0.09361737263981522,0.6627242775613388,-0.009220864876569148,Infinity Economics,3
PURA,X11,PoW,175215859.0,350000000,-0.24238876911073867,-0.7994330024337427,0.03438128515432769,Pura,0
INN,NeoScrypt,PoW,6375259.04,45000000,-0.18219835666268985,-1.5865910261587364,0.30507817260335995,Innova,0
ELLA,Ethash,PoW,12756367.0,280000000,-0.1693520741538576,-1.9455397972842017,0.3311266127543133,Ellaism,0
GBX,NeoScrypt,PoW,5832306.875,31800000,-0.18229893949265874,-1.5865813493298446,0.3050801961548337,GoByte,0
MAG,X11,PoW/PoS,38198594.8342105,144000000,-0.40612418817120055,1.347315005053675,-0.49653423356423376,Magnet,3
TAU,DPoS,DPoS,288090567.493887,500000000,3.6514316626557974,2.492716917964168,-0.46036707636941976,Lamden Tau,3
ECA,NIST5,PoW/PoS,28399150208.0,30000000000,0.20709470679574335,1.5646949807959707,-0.6042895813403765,Electra,3
BCD,X13,PoW/PoS,183534024.889807,210000000,-0.28029668002072605,1.874770784212163,-0.6324114247913549,Bitcoin Diamond,3
XSH,Multiple,PoW,481730566.566176,660000000,-0.130265445355397,-1.7351173673742597,0.395738074813537,SHIELD,0
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000,-0.3205122818524161,0.9591043257472766,-0.5422831695942582,Cash & Back Coin,3
XUN,CryptoNight,PoW,19281821413.4924,85000000000,1.1310816581736647,-2.3054376991691257,0.3807491892594504,UltraNote,0
COAL,CryptoNight,PoW,4500000.0,12500000,0.29002201219262735,-2.243166763464518,0.4029153888413781,BitCoal,0
DAXX,Ethash,PoW,520891780.0,10000000000,-0.09395860219519793,-1.952665236959072,0.3295738217106604,DaxxCoin,0
BWK,NIST5,PoS,13247178.8807286,27716121,-0.3026898493994695,1.2885809375812116,-0.31299637513267375,Bulwark,3
KLKS,Quark,PoS,16955764.902064,20000000,-0.3459272151111135,1.4214675433678579,-0.23105820562947893,Kalkulus,3
AC3,X11,PoW,80316207.0,550000000,-0.24212898723390727,-0.7995798354794775,0.03441033634470651,AC3,0
LTHN,CryptoNight-V7,PoW,441250233.377,999481516,-0.14430232132672915,-2.152972988425538,0.4422925057803297,Lethean,0
GER,Scrypt,PoW/PoS,4911500269.41,50000000000,0.09262566643291228,0.9226093436184537,-0.5515096823951778,GermanCoin,3
LTCU,Scrypt,PoW/PoS,8419402.321,150000000,-0.3221964520780037,0.9591481032208402,-0.5422160187862561,LiteCoin Ultra,3
POP,Scrypt,PoW,3964201248.87125,4999999999,-0.07860248261806126,-1.1909968455895645,-0.014112921000225473,PopularCoin,0
PNX,X11,PoW/PoS,45174214.1078625,50000000,-0.40670754906495027,1.3473839383484096,-0.4965261011032372,PhantomX,3
PHO,BLAKE256,PoW,30089671530.5228, 90000000000,1.1001413730236622,-1.3268377532133633,0.10261538369274732,Photon,0
SUCR,X11,PoW,4229040.50393462,19800000,-0.24683445297763495,-0.7991912623782867,0.034523043486430524,Sucre,0
SPK,NeoScrypt,PoW,7847417.33355824,21000000,-0.1823510860016275,-1.586573426810773,0.3050804278040107,SparksPay,0
WAGE,Quark,PoS,27299680.0,120000000,-0.34508884397677037,1.421394247013195,-0.23107714316599498,Digiwage,3
GUN,NeoScrypt,PoW,299797953.0,500000000,-0.1753637233398066,-1.5869240123304071,0.3048493632311376,GunCoin,0
IRL,Scrypt,PoW,45483049.3398182,64000000,-0.16176411841868268,-1.187386023938057,-0.011204816896570645,IrishCoin,0
TROLL,Scrypt,PoW/PoS,591022748.0,900000000,-0.30971769558212675,0.9585994306369514,-0.5426504640510917,Trollcoin,3
LCP,Scrypt,PoW/PoS,2504486.227718,4000000,-0.3233078501604152,0.9592551350012244,-0.5421936894600365,Litecoin Plus,3
MONK,X11,PoS,4407252.0,21000000,-0.3559489304285136,1.0493750563791056,-0.22552215046902913,Monkey Project,3
PCOIN,X11,PoW,8478104.33969947,23000000,-0.24675959452158316,-0.7991935997149743,0.034520168891693154,Pioneer Coin,0
UBTC,SHA-256,PoW,20166000.0,20166000,-0.1584714700770502,-1.179277769716612,0.2571862174868877,UnitedBitcoin,0
ITZ,C11,PoW,11916588.09471,23000000,-0.2225541890145087,-0.9958151871924859,0.14548775960109736,Interzone,0
TPAY,POS 3.0,PoS,20445861.5344251,25000000,-0.3235890927190134,1.3468105086383249,-0.1419306049303043,TokenPay,3
MCT,Ethash,PoS,1618033.0,1618033,-0.2805946928245112,-0.0967685185351278,0.07112417232792727,1717 Masonic Commemorative Token,3
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.2653911303068877,0.05208042946424558,-0.5210705641588105,My Big Coin,3
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.056981487852521,-2.976225740063934,0.24266803515306354,TurtleCoin,0
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.1861421303413498,-2.0197829637949494,0.4219463464346653,MUNcoin,0
USX,Scrypt,PoW/PoS,234846265.782157,232000000,-0.3188372518595143,0.9590884533739961,-0.5423577397313815,Unified Society USDEX,3
NBR,CryptoNight,PoW,133932467.774108,336000000,0.2939106158002478,-2.243403677625488,0.4027985584146183,Niobio Cash,0
SSS,Scrypt,PoW,10000000000.0,10000000000,0.030967360521303774,-1.194650188713884,-0.0182551220149625,ShareChain,0
TRF,Dagger,PoW,107325266.027783,100000000,-0.1579845415799231,-2.1559164810619267,0.42362054693267603,Travelflex,0
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.21315055498164587,-1.0808492446191644,0.15223648845878654,KREDS,0
TOKC,X13,PoS,230298925.0,800000000,-0.2240604258444129,1.5763082466763982,-0.36153830598720577,Tokyo Coin,3
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000,-0.20687208568971535,2.5587644309507587,11.974140774138943,BiblePay,1
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000,-0.2970586487973101,1.7593174218428738,10.215800867148554,LitecoinCash,1
FLIP,Scrypt,PoW,12446100.00278,40000000,-0.1623398869807426,-1.1873684963434943,-0.01118258059084283,BitFlip,0
LOT,Scrypt,PoW,14491014421.0,18406979840,0.1458430071644293,-1.200804668634867,-0.02194402437058976,LottoCoin,0
CIF,X11,PoW,211297638.500483,500000000,-0.24087909968143986,-0.7995429042038729,0.03434097099177197,Crypto Improvement Fund,0
SPD,C11,PoW/PoS,11251342.1879021,19340594,-0.383178310189658,1.1507847520080197,-0.3855329079347135,Stipend,3
POA,Proof-of-Authority,PoA,204479039.0,252460800,-0.2642994522608566,0.04402420410103698,13.795498142070667,Poa Network,1
PUSHI,X11,PoW/PoS,2167827.1,25000000,-0.407412646347823,1.3474021783925432,-0.49649796291415277,Pushi,3
ELP,XEVAN,PoW/PoS,419275.38,60000000,-0.28011408711885616,1.3224198952818265,-0.33419622089543605,Ellerium,3
VLX,Scrypt,PoS,25570013.1348022,124000000,-0.270706488196099,0.661137142141349,-0.271245991432877,Velox,3
ONT,VBFT,PoS,650848625.0,1000000000,-0.30778655919786196,1.3182227474143713,-0.18147537932636643,Ontology,3
CLO,Ethash,PoW,247612453.0,6500000000,-0.12221353162453882,-1.9500996799955488,0.33018524392630455,Callisto Network,0
TUBE,CryptoNight,PoW,80049082.9057215,1000000000,0.2979748796664447,-2.243890620269051,0.40274378063253813,BitTube,0
PSD,Scrypt,PoW,4070212.1493016,21000000,-0.1625777628823688,-1.187354583365295,-0.011175270692308671,Poseidon,0
ADK,IMesh,PoW,25000000.0,25000000,-0.18010522588046546,-2.042695467827956,0.31659549274472965,Aidos Kuneen,0
BSX,NIST5,PoW/PoS,13787854.6277781,50000000,-0.3539893825710468,1.5865946600259633,-0.5839761647361736,Bitspace,3
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000,-0.3233353012766135,0.9592558647306711,-0.5421925994877544,Briacoin,3
IC,Scrypt,PoW/PoS,1182153.5,5000000,-0.3233169446590091,0.9592543990731274,-0.5421930532997769,Ignition,3
BTL,Equihash,PoW,71355477.0,70000000,-0.1289512700379653,-2.194963002629003,0.2322853410718964,Bitrolium,0
MEDIC,Scrypt,PoS,267297676.3125,500000000,-0.2650677106700694,0.660861969593534,-0.2714346397202151,MedicCoin,3
ALPS,Lyra2Z,PoW,27340501.6514783,300000000,-0.17292470213142971,-2.1043465667935486,0.3425104888214777,Alpenschillling,0
BITG,Green Protocol,PoS,9803691.3618195,21000000,-0.34618284827529977,1.49460808089624,-0.1247375767225525,Bitcoin Green,3
DEV,PoS,PoS,21876586.8530324,88000000,-0.32806107980049765,1.38869153115808,-0.1445945682146806,Deviant Coin,3
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000,-0.3230324217345143,0.9592360876936672,-0.5422013268049547,Abjcoin,3
SEM,Semux BFT consensus,DPoS,1231147.0,100000000,3.8058415214267076,2.645954322956019,-0.626453942537964,Semux,3
FTO,X11,PoW,31801461.1867843,100000000,-0.24592577190715825,-0.7992500059736648,0.03449669424497771,FuturoCoin,0
CARE,Quark,PoW/PoS,139739596.506702,200000000,-0.3946059409274943,1.7193658858993957,-0.5021291967680581,Carebit,3
NZL,PoS,PoS,11075254.0929996,80000000,-0.32825041625398155,1.3886973741282904,-0.14458727827435308,Zealium,3
XMC,CryptoNight,PoW,16016864.0,18400000,0.2902051772626508,-2.2431710652718437,0.40290795651609906,Monero Classic,0
PROTON,X16R,PoS,4403800.0,45000000,-0.31883848632997414,0.6624755347310832,-0.03781358435834757,Proton,3
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220,-0.2697076322255479,0.9555056769714769,-0.5436679482485415,iDealCash,3
JUMP,NIST5,PoW,21069346.2522598,21000000,-0.19351654806370677,-0.5599813202393127,-0.05295509922903081,Jumpcoin,0
INFX,Lyra2RE,PoW,5097689.71077377,26280000,-0.16107224896396483,-2.205422849619927,0.33334624769017385,Infinex,0
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000,-0.2532660640373937,0.8980821742243765,0.03295988049496736,Bitcoin Incognito,3
KEC,Tribus,PoW,795447.0,18000000,-0.11413835567716285,-2.1538290558448856,0.9098651043691731,KEYCO,0
HWC,Scrypt,PoS,38706809.466535,26000000,-0.27124278333383267,0.6612090209612651,-0.271240908420219,HollyWoodCoin,3
GIN,Lyra2Z,PoW,6986399.70430446,10500000,-0.17523420617469718,-2.1041343539035124,0.3425597594003027,GINcoin,0
PLTC,CryptoNight,PoW,84300.0,600000518,0.29414834362666165,-2.2435975154669987,0.40284187418444806,PlatinCoin,0
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000,0.5692637920643961,-2.1805987964140283,0.3599258008303783,Loki,0
NCP,CryptoNight,PoW,41294520017.0,184000000000,2.1053820544429533,-2.377976612775611,0.35518479801634584,Newton Coin,0
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000,-0.12574767744763704,0.9518008489988532,-0.5494183471089857,Swisscoin,3
XT3,Scrypt,PoS,7630000.0154,44000000,-0.27149566466007047,0.6611957591292804,-0.27122524534462683,Xt3ch,3
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000,-0.14114380539758925,-2.0634921691589323,0.5336689919624849,MassGrid,0
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000,-0.34099425100816805,2.0076687973256226,-0.6322709036873556,TheVig,3
PLURA,CryptoNight,PoW,560085952.404637,1000000000,0.3038595413771076,-2.243889622147669,0.4024658346701852,PluraCoin,0
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000,-0.32250451677417763,0.9591965204145056,-0.5422151042119379,EmaratCoin,3
DKD,X15,PoS,30284196.369129,90000000,-0.17693807003829679,1.599185621835993,-0.3148288581062745,Dekado,3
LYNX,Scrypt,HPoW,77872059787.8998,92000000000,2.301524182424337,-0.2409354936561756,-0.4090728471666698,Lynx,0
POSQ,Quark,PoS,2716264.95302831,650000000 ,-0.3416188989013675,1.4210056112274323,-0.23113153517657256,Poseidon Quark,3
BWS,SHA-256,PoS,57811001.000889,100262205,-0.26656525104387024,0.6692307819329889,-0.0028908858252729183,BitcoinWSpectrum,3
MUSE,DPoS,PoS,18194936.0,18081806 ,0.9861902066031168,1.9555700302139978,-0.26490893590992726,Muse,3
XMN,X16R,PoW,8125865.02097646,22075700,-0.2098307793339297,-1.18607484812425,0.22223216422927244,Motion,0
PLUS1,HMQ1725,PoW,8645406.16776286,21000000,-0.20358482371855346,-1.9677269582409243,0.24833289554000926,PlusOneCoin,0
AXE,X11,PoW,4993030.69736615,21000000,-0.2468165485878911,-0.7991921406041007,0.034522445749040974,Axe,0
TRVC,X16R,PoW/PoS,36923120.6205934,82546564,-0.3696373963408085,0.9604781333933681,-0.30881386616446505,Trivechain,3
DTEM,Quark,PoS,7082392.24744494,21000000,-0.34604113484385374,1.4214667896599273,-0.23105261833489532,Dystem,3
GIC,Quark,PoW/PoS,5919489.76813523,5151000,-0.39763289294631127,1.7195084667742333,-0.5020264839867522,Giant,3
PNY,Scrypt,PoS,1042012.45227735,16880000000,-0.1517769285071399,0.6488519501258873,-0.27340140834703613,Peony Coin,3
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000,-0.3889228557006812,1.0665147066774185,-0.3782843602343127,Absolute Coin,3
VITAE,Quark,PoS,66053877.6256106,100000000,-0.3447560786616333,1.4214089911657115,-0.23109699255694433,Vitae,3
HEX,Scrypt,PoW,1416663.06600024,22105263,-0.16260242743921238,-1.187355399237918,-0.011173877374761276,HexCoin,0
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000,-0.3161850962532338,0.9585248951206489,-0.5423243333619325,TPCash,3
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000,-0.14418006721245333,-2.153524137613153,0.44244179336065187,Webchain,0
RYO,Cryptonight-GPU,PoW,4890897.0,88188888,-0.21179392704537314,-2.067164727988796,0.16061678104765523,Ryo,0
URALS,XEVAN,PoW,14746153.0962884,210000000,-0.11828117909682229,-0.8242873093078674,0.1967975877901135,Urals Coin,0
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000,3.1009888387034916,-2.315531323338837,0.27842835748280814,Qwertycoin,0
ARE,X11,PoS,19269509.94,55000000,-0.3555248044877257,1.0493501592084022,-0.22553515828473591,ARENON,3
EUNO,X11,PoW/PoS,30771125.9760867,50000000,-0.4068841132137266,1.3473839084006465,-0.49651776157674243,EUNO,3
MMO,Scrypt,PoS,107763867.917675,260000000,-0.2687311608723768,0.6610376007509341,-0.2713111921668949,MMOCoin,3
KETAN,PoS,PoS,9327131.59708692,210000000,-0.3273468083941592,1.3886020572724345,-0.14460309889792317,Ketan,3
PPAI,SHA-256,PoW,2100000000.0,2100000000,-0.11817584097496604,-1.180798335030542,0.25571267024744704,Project Pai,0
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000,-0.3485782700035111,1.0855565326571088,-0.3651271446724057,XDNA,3
PAXEX,X11,PoS,4504639.0,100000000,-0.3553855982939426,1.049317135470342,-0.2255324360221208,PAXEX,3
AZART,X11,PoW,5015881.37315389,25000000,-0.24678780576849274,-0.7991950732710823,0.03452191458587091,Azart,0
TSC,Scrypt,PoW/PoS,1059954080.43439,18000000000,-0.18229113923804705,0.9460630512051772,-0.545136140850273,ThunderStake,3
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000,-0.2827060762863906,1.1201461961884203,0.3297241951090257,Kcash,3
XCG,X16R,PoW,9753753.61515394,100000000,-0.20925633946301458,-1.1861319771704575,0.22222113178601696,Xchange,0
AAC,ECC 256K1,DPOS,1000000000.0,1000000000,-0.4083496381445302,5.363022867061965,9.90521993647415,Acute Angle Cloud,1
CRYP,Equihash,PoW,4235111504.0,7600000000,-0.02432771200137254,-2.2004751801332914,0.22889947854289647,CrypticCoin,0
BTXC,XEVAN,PoS,6787405.18013774,50000000,-0.2286424524019287,1.0243971809247807,-0.06322202211152826,Bettex coin,3
ACM,Lyra2Z,PoW,13634850.0,84000000,-0.17462970227011648,-2.104188228708483,0.3425463928756454,Actinium,0
BSV,SHA-256,PoW,17992514.6469233,21000000,-0.15849217986213002,-1.1792783857068245,0.25718736796689495,Bitcoin SV,0
BITM,XEVAN,Pos,208515864.367343,70000000000,0.6584847752639769,0.4526221005483608,0.19913244500058389,BitMoney,3
JMC,X11,PoS,17209923728.3266,0,-0.14517988550670513,1.0494262278695514,-0.23548159077172057,Junson Ming Chan Coin,3
FRED,CryptoNight,PoW,1867054873.28397,8080000000,0.37026034898272725,-2.2490778092740698,0.4007923467358599,FREDEnergy,0
HERB,Quark,PoW/PoS,35312185.7437239,54000000,-0.39692498105208873,1.7194727128467058,-0.5020498277603583,HerbCoin,3
UMO,Blake,PoW,1578281.31341127,105120001.44,-0.14077472476136876,-2.223520687062657,0.36089112129345774,Universal Molecule,0
LIT,Blake,PoW,15846721.2482747,25228800,-0.14116829102302525,-2.2234620828737612,0.36089320429017346,Lithium,0
PIRATE,Equihash,PoS,13475920.0,105000000,-0.23853695453609258,-0.3464215860262719,-0.027730613406314445,PirateCash,0
EXO,Exosis,PoW,406091.925,21000000,-0.1561423972924028,-2.118987093631999,0.4393889655076911,Exosis,0
BLTG,Scrypt,PoW,35284717.173946,120000000,-0.16149065965499207,-1.187427103145955,-0.011206163017932634,Block-Logic,0
OWC,Scrypt,PoW/PoS,14777549.3940764,21000000,-0.32303643103098156,0.9592426964835117,-0.5422029968943383,Oduwa,3
BEAM,Equihash,PoW,35687520.0,262800000,-0.12801661327542674,-2.195104433630564,0.23228102881977292,Beam,0
GALI,Quark,PoW/PoS,18265011.2486006,19035999,-0.39738275090039893,1.7194983122593257,-0.5020354300351212,Galilel,3
BTH,Equihash,PoW,25150787.5,30886000,-0.12979600520703025,-2.1949344211518778,0.23231715863337668,Bithereum,0
CSPN,Quark,PoS,1934701.67524713,13370000,-0.34615853179690903,1.421472373109439,-0.23104864981649528,Crypto Sports,3
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000,0.5867707395131893,0.904480396131093,-0.5697254398970645,Credit,3
SLC,QuBit,PoW,12925790.4226959,100000000,-0.20994988569729806,-1.392635046303721,0.055669492344780865,SLICE,0
DASHP,X11,PoS,715659.44237941,19700000,-0.3560034351905761,1.0493760018355356,-0.2255198446734159,Dash Platinum,3
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000,-0.3225174229481005,0.9591965182254375,-0.542214494623977,Nasdacoin,3
BEET,XEVAN,PoW/PoS,198938144.363399,500000000,-0.27454959310365906,1.3220977094597979,-0.334368137794089,Beetle Coin,3
