,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
BCN,CryptoNight,PoW,184066828814.0,184467440735,3.858921146933393,-2.378022469603009,0.2724577329814266,ByteCoin,0
XDN,CryptoNight,PoW,6906587610.38292,10000000000,0.4457009182838912,-2.250475033733182,0.39762580127626623,DigitalNote ,0
BURST,Shabal256,PoC,1813033920.0,2158812800,-0.10244767841411588,0.9813050634820821,-0.20934161967016676,BurstCoin,3
SJCX,Counterparty,PoS,51173144.0,500000000,-0.3270550865244492,1.4320804269665406,-0.22776154264818338,StorjCoin,3
MONA,Scrypt,PoW,68194674.8711679,105120000,-0.16119310528090428,-1.1874161250196844,-0.011223291491262395,MonaCoin,0
NTRN,SHA-256,PoW/PoS,39121694.0,68000000,-0.3184886523384049,0.9672844564163946,-0.2738524782877158,Neutron,3
FAIR,Groestl,PoW/PoS,53193831.0,0,-0.3807141295276834,0.9368835031775525,-0.5834981317138884,FairCoin,3
NLG,Scrypt,PoW,415032420.0,1680000000,-0.1457349674973438,-1.1885700722044699,-0.011628034228244027,Gulden,0
RBY,Scrypt,PoS,27184490.3918338,0,-0.2715690403348848,0.6612280596475809,-0.27123087032604326,RubyCoin,3
PTC,Scrypt,PoW,137517654.41397,166386000,-0.15990734188215924,-1.1874608998007445,-0.011271363074611667,PesetaCoin,0
KORE,X13,PoW/PoS,2022464.886973,12000000,-0.2839306921000998,1.8749155761699194,-0.6322806901988645,Kore,3
WBB,Scrypt,PoW,181919.2435974,2628000,-0.16275615774478658,-1.1873411214923952,-0.011170640469779848,Wild Beast Coin,0
NOTE,Scrypt,PoS,174646113.934655,500000000,-0.2662035048896407,0.6608617769468615,-0.2713809935748776,Dnotes,3
FLO,Scrypt,PoW,152270664.860648,160000000,-0.15977192881380467,-1.1874561870467126,-0.011279078330399463,Flo,0
8BIT,Scrypt,PoW/PoS,1467841.0,0,-0.3233490208543402,0.959258065560263,-0.5421925713000744,8BIT Coin,3
STV,X13,PoW/PoS,7096834.0,10000000,-0.28388271792391745,1.8749170530780983,-0.6322833693411594,Sativa Coin,3
ABY,Scrypt,PoW,792537250.0,1000000000,-0.14594588120180155,-1.188070725809859,-0.011758564644445623,ArtByte,0
FLDC,Stanford Folding,PoW,719416990.0,1000000000,-0.1734659473411755,-2.149656796988921,0.09035160436645116,Folding Coin,0
U,X11,PoS,2689812.0,20000000,-0.3559770998055023,1.049375785986725,-0.22552102657165596,Ucoin,3
UIS,Multiple,PoW,65113302.0,0,-0.14006900590290458,-1.7346343357382936,0.39606475906246563,Unitus,0
CYP,QuBit,PoW,6365285.0,0,-0.21074187688154505,-1.3925617420823662,0.055686239250722615,CypherPunkCoin,0
